et,obcflags,batt,curr,txforward2,txcurr,rxcurr,rxdoppler,rxrssi,txreflected,txforward,txtemp,txvoltage,antsA,antsB,localtime,boardtime
COESU,007d,"8,286","0,067","75,52639",0,"0,057",413,942,"0,003824","0,005975","-0,322580645161288","8,08064516129032",100,100,2021-03-23 12:17:30,2020-12-10 07:22:26
COESU,007d,"8,286","0,067","75,59809",0,"0,058",412,952,"0,003824","0,005975",0,"8,06451612903226",100,100,2021-03-23 12:18:30,2020-12-10 07:23:26
COESU,007d,"8,286","0,067","75,616015",0,"0,057",413,953,"0,003824","0,005975","0,322580645161288","8,09677419354839",100,100,2021-03-23 12:18:45,2020-12-10 07:23:41
COESU,007d,"8,296","0,067","75,63394",0,"0,058",411,949,"0,003824","0,005975","0,322580645161288","8,04838709677419",100,100,2021-03-23 12:19:00,2020-12-10 07:23:56
COESU,007d,"8,296","0,067","75,74149",0,"0,058",412,947,"0,003824","0,005975","1,29032258064516","8,09677419354839",100,100,2021-03-23 12:20:30,2020-12-10 07:25:26
COESU,007d,"8,296","0,063","21,852965",0,"0,056",403,946,"0,003824","0,005975","-5,80645161290322","8,08064516129032",100,100,2021-03-24 12:13:29,2020-12-11 07:18:23
COESU,007d,"8,296","0,067","21,94259",0,"0,057",405,944,"0,003824","0,005975","-5,48387096774194","8,09677419354839",100,100,2021-03-24 12:14:44,2020-12-11 07:19:38
PY4ZBZ,007D,"8,296","0,063","19,27296",0,"0,057",414,945,"0,003824","0,005975","1,93548387096774","8,09677419354839",100,100,2021-03-25 10:34:56,
PY4ZBZ,007D,"8,296","0,067","20,49664",0,"0,057",413,943,"0,005975","0,005975","2,25806451612903","8,11290322580645",100,100,2021-03-25 10:35:11,
PY4ZBZ,007D,"8,296","0,063","19,27296",0,"0,058",412,952,"0,003824","0,005975","2,90322580645162","8,06451612903226",100,100,2021-03-25 10:36:26,
PY4ZBZ,007D,"8,286","0,067","20,49664",0,"0,057",414,949,"0,005975","0,005975","2,90322580645162","8,09677419354839",100,100,2021-03-25 10:36:41,
PY4ZBZ,007D,"8,296","0,067","20,49664",0,"0,058",413,954,"0,003824","0,005975","2,90322580645162","8,08064516129032",100,100,2021-03-25 10:36:56,
PY4ZBZ,007D,"8,296","0,067","20,49664",0,"0,058",412,952,"0,005975","0,005975","3,54838709677419","8,09677419354839",100,100,2021-03-25 10:37:41,
PY4ZBZ,007D,"8,286","0,067","20,49664",0,"0,058",415,952,"0,003824","0,005975","3,54838709677419","8,06451612903226",100,100,2021-03-25 10:38:11,
PY4ZBZ,007D,"8,286","0,067","20,49664",0,"0,058",412,955,"0,003824","0,005975","3,87096774193548","8,09677419354839",100,100,2021-03-25 10:38:26,
PY4ZBZ,007D,"8,286","0,067","20,49664",0,"0,058",413,955,"0,003824","0,005975","3,87096774193548","8,08064516129032",100,100,2021-03-25 10:38:41,
PY4ZBZ,007D,"8,296","0,067","20,49664",0,"0,058",413,943,"0,003824","0,005975","4,19354838709678","8,11290322580645",100,100,2021-03-25 10:39:11,
PY4ZBZ,007D,"8,286","0,067","20,49664",0,"0,058",411,948,"0,003824","0,005975","4,51612903225806","8,09677419354839",100,100,2021-03-25 10:39:41,
PV8DX,007D,"8,286","0,067","0,080065",0,"0,057",411,947,"0,003824","0,005975","-1,93548387096774","8,09677419354839",100,100,2021-03-26 12:13:06,
PV8DX,007D,"8,296","0,067","0,080065",0,"0,057",413,959,"0,003824","0,005975","-1,93548387096774","8,06451612903226",100,100,2021-03-26 12:13:21,
PV8DX,007D,"8,286","0,067","0,080065",0,"0,057",416,948,"0,005975","0,005975","-1,61290322580645","8,08064516129032",100,100,2021-03-26 12:13:51,
PV8DX,007D,"8,286","0,063","0,075285",0,"0,057",414,950,"0,003824","0,005975","-1,61290322580645","8,09677419354839",100,100,2021-03-26 12:14:21,
PV8DX,007D,"8,286","0,067","0,080065",0,"0,057",416,942,"0,003824","0,005975","-0,967741935483872","8,03225806451613",100,100,2021-03-26 12:15:21,
PV8DX,007D,"8,286","0,067","0,080065",0,"0,057",412,945,"0,003824","0,005975",0,"8,09677419354839",100,100,2021-03-26 12:17:21,
PY4ZBZ,007D,"8,296","0,067","0,080065",0,"0,058",411,957,"0,003824","0,005975","-3,54838709677419","8,08064516129032",100,100,2021-03-27 10:26:20,
PY4ZBZ,007D,"8,296","0,063","0,075285",0,"0,057",410,945,"0,003824","0,005975","-2,90322580645162","8,08064516129032",100,100,2021-03-27 10:26:50,
PY4ZBZ,007D,"8,286","0,067","0,080065",0,"0,057",413,946,"0,003824","0,005975","-2,90322580645162","8,09677419354839",100,100,2021-03-27 10:27:05,
PY4ZBZ,007D,"8,286","0,067","0,080065",0,"0,057",413,947,"0,003824","0,005975","-2,58064516129032","8,06451612903226",100,100,2021-03-27 10:27:35,
