et,lat,lon,obcflags,batt,curr,txforward2,txcurr,rxcurr,rxdoppler,rxrssi,txreflected,txforward,txtemp,txvoltage,antsA,antsB,localtime,boardtime
COESU,-34.59,-58.958,007d,8.286,0.067,75.52639,0,0.057,413.0,942.0,0.003824,0.005975,-0.32258064516128826,8.080645161290322,0100,0100,2021-03-23 12:17:30,2020-12-10 07:22:26
COESU,-30.878,-59.908,007d,8.286,0.067,75.59809,0,0.057999999999999996,412.0,952.0,0.003824,0.005975,0.0,8.064516129032258,0100,0100,2021-03-23 12:18:30,2020-12-10 07:23:26
COESU,-30.259,-60.06100000000001,007d,8.286,0.067,75.616015,0,0.057,413.0,953.0,0.003824,0.005975,0.32258064516128826,8.096774193548388,0100,0100,2021-03-23 12:18:40,2020-12-10 07:23:41
COESU,-29.02,-60.363,007d,8.296,0.067,75.63394000000002,0,0.057999999999999996,411.0,949.0,0.003824,0.005975,0.32258064516128826,8.048387096774192,0100,0100,2021-03-23 12:19:00,2020-12-10 07:23:56
COESU,-23.445,-61.661,007d,8.296,0.067,75.74149,0,0.057999999999999996,412.0,947.0,0.003824,0.005975,1.29032258064516,8.096774193548388,0100,0100,2021-03-23 12:20:30,2020-12-10 07:25:26
COESU,-33.281,-58.218,007d,8.296,0.063,21.852965,0,0.055999999999999994,403.0,946.0,0.003824,0.005975,-5.806451612903223,8.080645161290322,0100,0100,2021-03-24 12:13:30,2020-12-11 07:18:23
COESU,-28.949,-59.298,007d,8.296,0.067,21.94259,0,0.057,405.0,944.0,0.003824,0.005975,-5.483870967741937,8.096774193548388,0100,0100,2021-03-24 12:14:40,2020-12-11 07:19:38
PY4ZBZ,-27.474,-34.64,007D,8.296,0.063,19.27296,0,0.057,414.0,945.0,0.003824,0.005975,1.935483870967744,8.096774193548388,100,100,2021-03-25 10:35:00,
PY4ZBZ,-26.855,-34.785,007D,8.296,0.067,20.49664,0,0.057,413.0,943.0,0.005975,0.005975,2.2580645161290316,8.112903225806452,100,100,2021-03-25 10:35:10,
PY4ZBZ,-21.9,-35.914,007D,8.296,0.063,19.27296,0,0.057999999999999996,412.0,952.0,0.003824,0.005975,2.903225806451616,8.064516129032258,100,100,2021-03-25 10:36:30,
PY4ZBZ,-21.28,-36.051,007D,8.286,0.067,20.49664,0,0.057,414.0,949.0,0.005975,0.005975,2.903225806451616,8.096774193548388,100,100,2021-03-25 10:36:40,
PY4ZBZ,-20.041,-36.323,007D,8.296,0.067,20.49664,0,0.057999999999999996,413.0,954.0,0.003824,0.005975,2.903225806451616,8.080645161290322,100,100,2021-03-25 10:37:00,
PY4ZBZ,-17.562,-36.857,007D,8.296,0.067,20.49664,0,0.057999999999999996,412.0,952.0,0.005975,0.005975,3.5483870967741917,8.096774193548388,100,100,2021-03-25 10:37:40,
PY4ZBZ,-15.703,-37.251,007D,8.286,0.067,20.49664,0,0.057999999999999996,415.0,952.0,0.003824,0.005975,3.5483870967741917,8.064516129032258,100,100,2021-03-25 10:38:10,
PY4ZBZ,-14.463,-37.511,007D,8.286,0.067,20.49664,0,0.057999999999999996,412.0,955.0,0.003824,0.005975,3.87096774193548,8.096774193548388,100,100,2021-03-25 10:38:30,
PY4ZBZ,-13.843,-37.641,007D,8.286,0.067,20.49664,0,0.057999999999999996,413.0,955.0,0.003824,0.005975,3.87096774193548,8.080645161290322,100,100,2021-03-25 10:38:40,
PY4ZBZ,-11.983,-38.026,007D,8.296,0.067,20.49664,0,0.057999999999999996,413.0,943.0,0.003824,0.005975,4.193548387096777,8.112903225806452,100,100,2021-03-25 10:39:10,
PY4ZBZ,-10.123,-38.407,007D,8.286,0.067,20.49664,0,0.057999999999999996,411.0,948.0,0.003824,0.005975,4.516129032258063,8.096774193548388,100,100,2021-03-25 10:39:40,
COESU,-30.109,-57.933,007D,8.295999526977539,0.0034803026355803013,0.0059750000946223744,0,22.51499938964844,415.00001072883606,3.0387096405029297,0.003824000013992191,0.0059750000946223744,1.6129032373428345,8.096774101257324,0x100,0x100,2021-03-25 12:10:00,2020-12-12 07:14:50
PV8DX,-2.146,-62.862,007D,8.286,0.067,0.005975,0,0.057,411.0,947.0,0.003824,0.005975,-1.935483870967744,8.096774193548388,0100,100.0,2021-03-26 12:13:10,
PV8DX,-1.526,-62.986,007D,8.296,0.067,0.005975,0,0.057,413.0,959.0,0.003824,0.005975,-1.935483870967744,8.064516129032258,0100,100.0,2021-03-26 12:13:20,
PV8DX,0.334,-63.358,007D,8.286,0.067,0.005975,0,0.057,416.0,948.0,0.005975,0.005975,-1.6129032258064484,8.080645161290322,0100,100.0,2021-03-26 12:13:50,
PV8DX,2.193,-63.73,007D,8.286,0.063,0.005975,0,0.057,414.0,950.0,0.003824,0.005975,-1.6129032258064484,8.096774193548388,0100,100.0,2021-03-26 12:14:20,
PV8DX,5.912000000000001,-64.477,007D,8.286,0.067,0.005975,0,0.057,416.0,942.0,0.003824,0.005975,-0.967741935483872,8.03225806451613,0100,100.0,2021-03-26 12:15:20,
PV8DX,13.345999999999998,-65.994,007D,8.286,0.067,0.005975,0,0.057,412.0,945.0,0.003824,0.005975,0.0,8.096774193548388,0100,100.0,2021-03-26 12:17:20,
