COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","47950","OBJECT U","TBA","U","21022U","2021-03-24 15:48:12","807648","15.0550848","0.0019175","97.5619","347.4918","243.5479","212.5901","0","999","29","0","-0.00000062","0","2993423","0 OBJECT U","1 47950U 21022U   21083.65848157 -.00000062  00000-0  00000+0 0  9998","2 47950  97.5619 347.4918 0019175 243.5479 212.5901 15.05508480   294","2021-022U","47950","6928.082","95.649","563.232","536.663","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","47950","OBJECT U","TBA","U","21022U","2021-03-24 17:04:20","697888","15.0550848","0.0019175","97.5619","347.5436","243.368","139.1315","0","999","30","0","-0.00000062","0","2993748","0 OBJECT U","1 47950U 21022U   21083.71135067 -.00000062  00000-0  00000+0 0  9994","2 47950  97.5619 347.5436 0019175 243.3680 139.1315 15.05508480   307","2021-022U","47950","6928.082","95.649","563.232","536.663","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","47950","OBJECT U","TBA","U","21022U","2021-03-25 03:09:07","584192","15.0550848","0.0019175","97.5619","347.9552","241.9385","255.3896","0","999","36","0","-0.00000062","0","2994140","0 OBJECT U","1 47950U 21022U   21084.13133778 -.00000062  00000-0  00000+0 0  9998","2 47950  97.5619 347.9552 0019175 241.9385 255.3896 15.05508480   367","2021-022U","47950","6928.082","95.649","563.232","536.663","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","47950","OBJECT U","TBA","U","21022U","2021-03-25 07:19:43","479840","15.0550848","0.0019175","97.5619","348.1258","241.3461","118.5838","0","999","39","0","-0.00000062","0","2994536","0 OBJECT U","1 47950U 21022U   21084.30536435 -.00000062  00000-0  00000+0 0  9994","2 47950  97.5619 348.1258 0019175 241.3461 118.5838 15.05508480   391","2021-022U","47950","6928.082","95.649","563.232","536.663","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","47950","OBJECT U","TBA","U","21022U","2021-03-25 13:42:33","640416","15.0550848","0.0019175","97.5619","348.3863","240.4412","119.4903","0","999","43","0","-0.00000062","0","2994619","0 OBJECT U","1 47950U 21022U   21084.57122269 -.00000062  00000-0  00000-0 0  9990","2 47950  97.5619 348.3863 0019175 240.4412 119.4903 15.05508480   439","2021-022U","47950","6928.082","95.649","563.232","536.663","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","47950","OBJECT U","TBA","U","21022U","2021-03-25 15:18:16","180992","15.05504645","0.0018708","97.5642","348.4482","239.0672","120.8496","0","999","44","0","-0.00000062","0","2994724","0 OBJECT U","1 47950U 21022U   21084.63768728 -.00000062  00000-0  00000+0 0  9992","2 47950  97.5642 348.4482 0018708 239.0672 120.8496 15.05504645   449","2021-022U","47950","6928.094","95.649","562.920","536.998","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","47950","OBJECT U","TBA","U","21022U","2021-03-25 15:18:16","180992","15.05504645","0.0018708","97.5642","348.4482","239.0672","120.8496","0","999","44","0","-0.00000062","0","2994950","0 OBJECT U","1 47950U 21022U   21084.63768728 -.00000062  00000-0  00000-0 0  9993","2 47950  97.5642 348.4482 0018708 239.0672 120.8496 15.05504645   449","2021-022U","47950","6928.094","95.649","562.920","536.998","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","47950","OBJECT U","TBA","U","21022U","2021-03-26 04:03:56","534112","15.05505181","0.0019852","97.5629","348.9737","233.1821","126.7586","0","999","52","0","-0.00000062","0","2994987","0 OBJECT U","1 47950U 21022U   21085.16940433 -.00000062  00000-0  00000+0 0  9996","2 47950  97.5629 348.9737 0019852 233.1821 126.7586 15.05505181   524","2021-022U","47950","6928.092","95.649","563.711","536.204","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","47950","OBJECT U","TBA","U","21022U","2021-03-26 07:15:21","643776","15.05505181","0.0019852","97.5629","349.104","232.7296","127.2121","0","999","54","0","-0.00000062","0","2995167","0 OBJECT U","1 47950U 21022U   21085.30233384 -.00000062  00000-0  00000+0 0  9992","2 47950  97.5629 349.1040 0019852 232.7296 127.2121 15.05505181   548","2021-022U","47950","6928.092","95.649","563.711","536.204","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","47950","OBJECT U","TBA","U","21022U","2021-03-26 14:02:17","304864","15.05506423","0.0019702","97.5632","349.3811","233.1288","217.4384","0","999","58","0","-0.00000062","0","2995254","0 OBJECT U","1 47950U 21022U   21085.58492251 -.00000062  00000-0  00000-0 0  9993","2 47950  97.5632 349.3811 0019702 233.1288 217.4384 15.05506423   587","2021-022U","47950","6928.089","95.649","563.603","536.304","0"
